0,9,1.785969
1,9,1.786865
2,9,1.786078
3,9,1.785895
4,9,1.786045
5,9,1.786917
6,9,1.786041
7,9,1.785879
8,9,1.786599
0,10,1.695325
1,10,1.698877
2,10,1.697474
3,10,1.700037
4,10,1.699239
5,10,1.699695
6,10,1.698144
7,10,1.699307
8,10,1.703719
9,10,-3.136079
0,11,1.670442
1,11,1.676226
2,11,1.675916
3,11,1.675775
4,11,1.676644
5,11,1.675630
6,11,1.678983
7,11,1.673377
8,11,1.679948
9,11,-3.671338
10,11,-2.094428
0,12,-0.660935
1,12,-0.651365
2,12,-0.661866
3,12,-0.662580
4,12,-0.664228
5,12,-0.650248
6,12,-0.667170
7,12,-0.662681
8,12,-0.667089
9,12,1.608008
10,12,0.972426
11,12,0.978313
0,13,-0.390767
1,13,-0.382029
2,13,-0.390355
3,13,-0.391463
4,13,-0.392641
5,13,-0.381415
6,13,-0.394338
7,13,-0.391388
8,13,-0.394352
9,13,0.960624
10,13,0.581436
11,13,0.609988
12,13,-0.819875
0,14,0.609987
1,14,0.614230
2,14,0.596340
3,14,0.620563
4,14,0.593743
5,14,0.613600
6,14,0.597911
7,14,0.582389
8,14,0.593259
9,14,-2.527308
10,14,0.385224
11,14,-3.263991
12,14,-1.909680
13,14,7.963105
